"","X","Ancylus","Anisus","Belgrandia","Bythinella","Bythiospeum","Dugesia","Dina","Echinogammarus","Galba","Glossiphonia","Gyraulus","Helobdella","Pacifastacus","Pisidium","Polycelis","Potamopyrgus","Radix","Stagnicola","Theodoxus","Aulonogyrus","Agabus","Dryops","Dupophilus","Dytiscus","Elmis","Elodes","Esolus","Helophorus","Hydraena","Hydrochus","Hydrocyphon","Hydroporus","Limnius","Macronychus","Normandia","Orectochilus","Oulimnius","Pomatinus","Stenelmis","Atherix","Chironomini","Culicinae","Dixa","Eriopterini","Hexatomini","Limoniini","Liponeura","Pediciini","Ptychopteridae","Tabanidae","Tanypodinae","Tanytarsini","Thaumaleidae","Tipulidae","Acentrella","Baetis","Caenis","Centroptilum","Ecdyonurus","Epeorus","Ephemera","Habroleptoides","Habrophlebia","Heptagenia","Paraleptophlebia","Potamanthus","Rhithrogena","Gerris","Hydrometra","Mesovelia","Microvelia","Velia","Acentria","Sialis","Boyeria","Calopteryx","Cordulegaster","Gomphus","Onychogomphus","Ophiogomphus","Amphinemura","Chloroperla","Dinocras","Isoperla","Leuctra","Marthamea","Nemoura","Perla","Protonemura","Agapetus","Athripsodes","Calamoceras","Crunoecia","Chimarra","Ernodes","Glossosoma","Goera","Halesus","Holocentropus","Hydropsyche","Hydroptila","Lepidostoma","Lype","Lithax","Micrasema","Mystacides","Notidobia","Odontocerum","Oecetis","Oecismus","Orthotrichia","Philopotamus","Plectrocnemia","Polycentropus","Psychomyia","Rhyacophila","Sericostoma","Setodes","Silo","Tinodes","Clinocerinae"
"1","GORB_01",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,4,0,0,0,0,1,0,0,0,0,6,4,0,0,0,22,6,0,21,0,0,26,63,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,39,0,0,1,5,0,0,2,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,1,0,0,0,1,1,18,0,4,3,0,0,0,1
"2","GORB_02",0,0,0,2,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,3,3,0,1,0,154,32,0,65,6,0,46,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,17,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,26,0,0,0,0
"3","GORB_03",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,4,19,0,0,0,16,0,0,15,0,1,70,57,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,58,3,0,2,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,2,0,18,0,0,3,0,0,0,0
"4","GORB_04",1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,9,0,0,0,0,3,0,0,0,0,4,7,0,0,0,23,4,0,49,11,3,9,5,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,2,2,0,0,0,0,0,0,0,0,8,0,15,0,10,18,0,0,0,0
"5","GORB_05",1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,15,6,0,0,9,15,1,0,86,12,0,31,11,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,15,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,0,4,0,40,0,4,5,0,0,0,0
"6","GORB_06",0,0,0,3,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,1,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,4,5,0,0,6,26,0,0,93,10,0,15,10,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,2,0,6,0,21,8,0,0,0,0
"7","GORB_07",12,0,0,6,0,1,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,3,7,0,0,0,0,1,0,0,0,0,4,9,0,0,0,33,3,0,86,4,0,1,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0,1,0,0,0,0,0,0,16,0,4,15,0,0,0,0
"8","GORB_08",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,21,0,0,0,0,0,0,1,2,0,4,0,0,0,3,0,2,5,24,0,0,0,0,0,0,0,0,0,2,4,0,0,0,10,0,0,3,3,2,5,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0
"9","GORB_09",0,0,0,0,0,3,0,1,0,0,0,0,9,0,0,5,0,1,0,0,0,0,4,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,32,0,0,0,0,0,0,0,0,0,1,7,0,0,0,8,2,0,39,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,12,0,4,5,0,0,0,0
"10","GORB_10",1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,1,0,64,3,1,6,13,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,18,0,0,2,0,0,0,1
"11","ARAL_01",4,0,0,3,0,0,0,55,1,0,0,0,0,2,0,32,0,0,0,0,0,0,4,0,16,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,4,15,0,0,0,28,6,0,24,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,2,6,0,5,0,2,0,0,9,7,3,1,0,0,0,0
"12","ARAL_02",1,0,0,0,0,0,0,93,0,0,0,0,0,2,0,20,0,0,0,0,0,0,4,0,3,0,0,0,0,0,2,0,0,1,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,9,0,6,3,4,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0
"13","ARAL_03",11,0,0,3,0,0,0,130,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,12,0,0,6,1,0,0,0,0,0,0,1,3,0,3,0,16,0,0,11,0,8,0,3,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0
"14","ARAL_04",2,0,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,61,97,0,39,7,9,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,8,0,3,13,0,0,0,0
"15","ARAL_05",0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,27,0,0,0,0,0,0,2,0,4,0,0,0,0,0,4,0,0,0,0,0,9,1,0,6,3,0,4,0,0,0,0,0,0,0,0,3,0,2,0,3,16,0,34,2,3,1,11,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,2,4,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,1,0,0,0,0,0,8,0,0,6,0,0,0,0
"16","ARAL_06",18,0,0,0,0,0,0,114,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,82,2,0,15,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"17","ARAL_07",1,0,0,0,0,1,0,117,0,0,0,0,0,0,1,174,0,0,0,0,0,0,2,0,10,0,0,0,0,0,5,0,4,0,0,0,7,0,0,5,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,10,5,0,32,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,11,0,1,0,0,0,0,0,0,4,0,3,0,0,1,0,0,1,0,0,0,0,0,2,0,3,11,0,0,0,1
"18","ARAL_08",1,0,0,0,0,0,0,94,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,0,0,0,11,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,6,2,0,9,0,7,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","ARAL_09",5,0,0,0,0,2,0,77,0,0,0,1,0,0,0,138,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,2,0,0,0,12,3,0,70,0,0,0,7,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,9,0,0,0,0,0,0,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,6,0,9,3,0,0,0,0
"20","ARAL_10",22,0,4,6,0,4,0,30,0,0,0,0,0,4,0,176,0,0,1,1,0,0,2,0,26,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,74,0,0,0,0,1,0,0,0,0,2,10,0,2,3,34,6,0,11,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,5,7,0,0,0,18,1,0,2,0,0,4,0,2,1,4,1,0,0,0,1
"21","IZKI_01",0,0,0,8,1,0,0,271,0,0,6,0,3,6,2,21,0,0,0,0,1,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,13,0,3,0,2,2,0,0,111,1,4,31,0,0,0,11,0,17,0,0,46,0,63,0,0,0,0,0,0,0,6,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","IZKI_02",0,0,0,0,0,0,0,120,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,4,5,0,0,1,1,1,0,0,5,1,0,0,0,0,0,52,0,0,48,0,23,0,9,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"23","IZKI_03",3,1,2,0,0,0,0,38,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,1,6,0,0,0,0,25,0,2,6,0,23,3,23,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,10,0,0,1,0
"24","IZKI_04",2,0,0,0,0,0,0,23,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,6,0,1,0,0,0,0,52,0,126,104,0,0,0,1,0,0,0,0,20,2,29,0,0,0,0,0,0,0,1,0,0,3,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","IZKI_05",0,0,0,0,0,0,0,148,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,1,0,1,0,13,8,0,4,7,0,0,0,10,0,0,9,0,15,0,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","IZKI_06",0,0,0,0,0,0,0,44,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","IZKI_07",0,0,0,0,0,0,0,9,0,0,1,0,19,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,32,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"28","IZKI_08",0,0,0,0,0,0,0,41,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,5,1,1,3,3,0,0,0,4,0,0,2,0,55,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","IZKI_09",0,0,0,4,0,0,0,136,0,0,2,0,9,23,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,22,0,0,0,15,0,0,14,0,12,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"30","IZKI_10",1,0,1,1,0,0,0,83,0,0,5,0,6,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,14,0,0,0,0,0,0,4,0,2,2,4,0,0,0,13,0,0,11,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"31","ARTI_01",0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,8,0,2,0,2,0,0,7,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"32","ARTI_02",0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,6,0,0,1,0,2,0,0,0,0,0,1,4,1,1,1,1,0,0,22,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,73,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0
"33","ARTI_03",3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,7,3,0,0,1,0,1,0,0,0,0,1,9,0,0,1,2,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"34","ARTI_04",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,11,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"35","ARTI_05",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1,0,2,0,0,0,1,0,18,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,3,7,0,0,0,81,1,0,48,1,0,16,41,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,11,0,0,16,0,0,0,0,1,0,0,3,0,0,3,13,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,0,0,0,0
"36","ARTI_06",0,0,0,1,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,12,0,0,21,2,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,2,5,0,0,0,0
"37","ARTI_07",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,12,0,0,7,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,2,0,13,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"38","ARTI_08",0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,2,0,9,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,10,0,0,11,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
"39","ARTI_09",0,0,0,1,0,0,0,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,10,0,0,12,9,1,1,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,4,0,21,0,10,0,0,0,0,0,2,0,0,1,22,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
"40","ARTI_10",0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,43,0,1,0,1,0,0,0,0,0,4,10,0,0,0,4,0,7,8,0,6,0,12,0,0,0,0,7,0,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,5,0,0,1,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,1,0,0,0
"41","AIZK_01",0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,1,0,4,1,0,0,0,0,6,2,0,0,0,7,0,0,10,0,2,0,121,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0
"42","AIZK_02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,11,0,0,0,34,0,0,4,0,1,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"43","AIZK_03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,1,7,0,0,0,7,1,0,3,0,0,7,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,2,6,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,3,0,0,1,0,0,0,0,19,0,4,4,0,1,0,0
"44","AIZK_04",6,0,0,0,0,4,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,1,0,0,3,2,0,0,0,16,0,0,18,1,0,2,2,0,0,0,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,2,0,0,0,0
"45","AIZK_05",1,0,0,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,4,0,1,0,10,0,0,0,0,0,3,14,0,0,0,12,0,0,15,0,10,32,37,0,1,0,0,4,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,32,0,0,0,1
"46","AIZK_06",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,5,0,0,6,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"47","AIZK_07",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,6,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,2,5,0,2,0,0,0,3,0,2,0,17,4,0,9,0,1,13,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,5,7,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,2
"48","AIZK_08",10,0,0,0,0,7,0,18,0,0,0,0,0,0,2,17,2,0,13,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,2,1,0,0,0,6,0,3,7,1,3,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,2,0,0,0,0,0,0,3,0,10,0,8,1,0,0,4,0
"49","AIZK_09",0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,25,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,15,0,1,0,26,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0,0
"50","AIZK_10",16,0,0,0,0,0,0,62,0,3,0,0,0,0,0,98,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,23,0,4,0,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,4,0,0,1,0
